
 11%|███████████████                                                                                                                         | 15/136 [00:01<00:09, 12.68it/s]
loss:  tensor(0.4452, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4288, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3308, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5105, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5397, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5670, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6191, device='cuda:0', grad_fn=<NllLossBackward0>)

 93%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████          | 126/136 [00:11<00:00, 11.60it/s]
loss:  tensor(0.3879, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8778, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5861, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3905, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5163, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4282, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3751, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5433, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3508, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4374, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5966, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7176, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5887, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3386, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4275, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3693, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4452, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6943, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8193, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3459, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8952, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5078, device='cuda:0', grad_fn=<NllLossBackward0>)
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 136/136 [00:12<00:00, 11.12it/s]
  9%|████████████                                                                                                                            | 12/136 [00:01<00:11, 11.16it/s]
loss:  tensor(0.6125, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5332, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4966, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6515, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5239, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5826, device='cuda:0', grad_fn=<NllLossBackward0>)
Training loss: 0.03393176562484654, accuracy: 0.7167816091954023
loss:  tensor(0.6000, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3236, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4110, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5586, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.9108, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5140, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4848, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5423, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4221, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4254, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5933, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7151, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.9661, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4261, device='cuda:0', grad_fn=<NllLossBackward0>)

 26%|████████████████████████████████████                                                                                                    | 36/136 [00:03<00:08, 11.33it/s]
loss:  tensor(0.3363, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4110, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4535, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3661, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5039, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4382, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5739, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6129, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4656, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3341, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5068, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6207, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4856, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5674, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6131, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4288, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7075, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7579, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8417, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6294, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7986, device='cuda:0', grad_fn=<NllLossBackward0>)

 41%|████████████████████████████████████████████████████████                                                                                | 56/136 [00:05<00:07, 10.20it/s]
loss:  tensor(0.6033, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5833, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4782, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5734, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5007, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5409, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5709, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5518, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5370, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4959, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5275, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5944, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4454, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4786, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4522, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5180, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4933, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(1.0636, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5536, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3959, device='cuda:0', grad_fn=<NllLossBackward0>)

 56%|████████████████████████████████████████████████████████████████████████████                                                            | 76/136 [00:07<00:05, 10.23it/s]
loss:  tensor(0.3636, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6185, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4688, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6611, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7403, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3766, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5912, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5388, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5900, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4230, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4608, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5126, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5907, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4184, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4878, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4532, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4784, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4343, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6679, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4950, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3711, device='cuda:0', grad_fn=<NllLossBackward0>)

 74%|███████████████████████████████████████████████████████████████████████████████████████████████████▎                                   | 100/136 [00:09<00:03, 11.93it/s]
loss:  tensor(0.3298, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5641, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5007, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.2189, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7082, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3370, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.2539, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5024, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8233, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4666, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3296, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6654, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3549, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5944, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5263, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3742, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4673, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5399, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4196, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7218, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5536, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4882, device='cuda:0', grad_fn=<NllLossBackward0>)

 90%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████              | 122/136 [00:11<00:01, 11.26it/s]
loss:  tensor(0.7582, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3876, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3393, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5996, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4676, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5068, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5654, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6151, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4774, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4847, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6214, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4569, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3738, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5247, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5198, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4952, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4229, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5523, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6221, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7058, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4830, device='cuda:0', grad_fn=<NllLossBackward0>)
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 136/136 [00:12<00:00, 11.00it/s]
  7%|█████████                                                                                                                                | 9/136 [00:00<00:11, 11.32it/s]
loss:  tensor(0.4556, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6296, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5901, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6906, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7487, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4777, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4721, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4649, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5084, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5452, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4591, device='cuda:0', grad_fn=<NllLossBackward0>)
Training loss: 0.03291824180504371, accuracy: 0.7177011494252874
loss:  tensor(0.4053, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(1.0555, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4826, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5576, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5094, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5022, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4676, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5224, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4163, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3994, device='cuda:0', grad_fn=<NllLossBackward0>)

 23%|███████████████████████████████                                                                                                         | 31/136 [00:02<00:08, 11.95it/s]
loss:  tensor(0.5324, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3617, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6611, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4230, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5570, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.2596, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6564, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4691, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7931, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4370, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5828, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4271, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5780, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5434, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5160, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3843, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4568, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4660, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3899, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4094, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5920, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4146, device='cuda:0', grad_fn=<NllLossBackward0>)

 39%|█████████████████████████████████████████████████████                                                                                   | 53/136 [00:04<00:07, 10.72it/s]
loss:  tensor(0.4875, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6597, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4033, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3500, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4316, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6814, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4263, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4276, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8206, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7319, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4166, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3595, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3988, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4240, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5671, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4153, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4140, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3633, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4410, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(1.0394, device='cuda:0', grad_fn=<NllLossBackward0>)

 54%|█████████████████████████████████████████████████████████████████████████                                                               | 73/136 [00:06<00:06, 10.48it/s]
loss:  tensor(0.6954, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6164, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4423, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4340, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3861, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7063, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5984, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3950, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4339, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5407, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4014, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4824, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4010, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6012, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5426, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4786, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4389, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4162, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4638, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5936, device='cuda:0', grad_fn=<NllLossBackward0>)

 70%|███████████████████████████████████████████████████████████████████████████████████████████████                                         | 95/136 [00:08<00:04,  9.69it/s]
loss:  tensor(0.7467, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6127, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5773, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4678, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5173, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4264, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4297, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6008, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5198, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4785, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5425, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3760, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4683, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5936, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7639, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6132, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4080, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6948, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4116, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5633, device='cuda:0', grad_fn=<NllLossBackward0>)

 86%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▏                  | 117/136 [00:10<00:01, 10.83it/s]
loss:  tensor(0.5116, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4615, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5069, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4158, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7284, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4486, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5522, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4732, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4461, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4402, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4802, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4073, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5298, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4222, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4575, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3662, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7576, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4227, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3869, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4130, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4335, device='cuda:0', grad_fn=<NllLossBackward0>)
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 136/136 [00:12<00:00, 10.70it/s]
  1%|██                                                                                                                                       | 2/136 [00:00<00:11, 11.95it/s]
loss:  tensor(0.5890, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7451, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7821, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4501, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4170, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7457, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5227, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4472, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4828, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7138, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5949, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4402, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5388, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4000, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4510, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4598, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4370, device='cuda:0', grad_fn=<NllLossBackward0>)
Training loss: 0.03182240025750522, accuracy: 0.7195402298850575
loss:  tensor(0.4863, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5069, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5119, device='cuda:0', grad_fn=<NllLossBackward0>)

 18%|████████████████████████                                                                                                                | 24/136 [00:02<00:10, 11.11it/s]
loss:  tensor(0.5496, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4061, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4156, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4032, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4761, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5012, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3534, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8149, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4991, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7013, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5071, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.2281, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3653, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6486, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3300, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6004, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6224, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3594, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4741, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4744, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6177, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4077, device='cuda:0', grad_fn=<NllLossBackward0>)

 34%|██████████████████████████████████████████████                                                                                          | 46/136 [00:04<00:07, 11.47it/s]
loss:  tensor(0.5481, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5367, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6147, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4442, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5109, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4119, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4075, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5464, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5646, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5411, device='cuda:0', grad_fn=<NllLossBackward0>)
